pitch,roll,yaw,Ax,Ay,Az,Gx,Gy,Gz
3.442441900012666,5.706899453667726,179.2714756920401,-508,661,16461,2,-2,-1
5.561496299158415,8.144821614412125,179.02305752187192,-502,681,16571,0,0,-1
6.815697324702221,8.939682136428127,178.8744621458939,-494,643,16608,1,-6,-1
7.659931053268887,9.23569380174205,178.72930493046837,-486,672,16592,1,-1,1
8.077223953932277,9.110619871954942,178.58387176250102,-495,671,16589,2,1,-1
8.27042476302591,9.06044972880105,178.4360230639016,-500,680,16657,-1,0,-1
8.416139152302339,8.879797877969395,178.2844289801535,-465,693,16544,2,-2,-1
8.48456444724831,8.780722251241059,178.13018519861788,-492,683,16610,-1,2,0
8.59934879415372,8.842550177270143,177.96600159566816,-493,679,16576,2,1,0
8.592146032385495,8.794955892357779,177.80173738805217,-500,658,16585,0,0,0
8.590276541962607,8.90540624700146,177.63513930942196,-500,672,16572,2,-1,-1
8.548939004339735,8.806635875481414,177.47460347641297,-489,660,16577,0,2,1
8.380634696641371,8.714280156441669,177.32442554727027,-485,668,16578,0,-1,2
8.351641066392483,8.724506140979067,177.16630165703373,-507,655,16583,1,-1,-1
8.351592441675617,8.717952039223384,177.01192854276235,-500,667,16578,-1,0,1
8.346624152646063,8.660017230858468,176.85307676648765,-519,653,16606,1,2,-1
8.234112210242598,8.513823136885174,176.70367315684967,-496,666,16603,0,1,-1
8.291935418702527,8.624163542454687,176.54281543447163,-507,661,16607,0,0,-1
8.271278404787124,8.594231074866055,176.38774595463923,-479,655,16571,0,-1,1
8.298328328524335,8.677013560419784,176.22727007927557,-493,659,16592,-1,2,0
8.32449903971954,8.6306372029483,176.0655111499066,-497,665,16593,0,0,-1
8.38399142837831,8.739967257745386,175.89600197561865,-503,663,16605,0,0,-1
8.41065532114425,8.814469017236403,175.72135658420376,-489,642,16592,0,-1,-1
8.4187690206977,8.847410043714088,175.55799369389857,-502,669,16573,1,1,3
8.322074003390068,8.747196043845063,175.3989858744316,-482,674,16583,-1,1,0
