pitch,roll,yaw,Ax,Ay,Az,Gx,Gy,Gz
-0.26106475208769087,10.360725607875446,-179.81298807150944,521,134,16419,2,-2,1
-0.5491826312460913,15.396324447690915,-179.70803926587652,519,155,16522,3,1,0
-0.5672656159541644,17.324687406906147,-179.64750205314854,513,144,16550,1,0,0
-0.5656958401826253,18.26798202107417,-179.59239839621262,528,131,16535,2,0,1
-0.7301080596044021,18.820279188431282,-179.55806922907496,523,130,16551,0,1,2
-0.7763100386873335,18.906340358115784,-179.50857886335706,515,133,16541,0,1,1
-0.8357737246809999,19.014806160907963,-179.4579190136219,507,144,16554,1,-1,0
-0.7573369975329195,19.071175132115357,-179.3829618151449,528,142,16554,1,0,1
-0.7672676387826445,19.049123054437455,-179.32622731080846,520,129,16556,1,0,1
-0.783834782311274,19.084633396230203,-179.27066230935637,505,123,16558,0,0,0
-0.7480776483253634,19.131619215817597,-179.2020180600715,524,136,16561,0,1,1
-0.7218998231319769,19.07752373032987,-179.13719463501673,530,142,16539,0,-1,0
-0.8055202030688156,19.15227961546274,-179.0893715260648,526,128,16577,2,2,0
-0.7832612911725642,18.963069953773353,-179.02581547839154,527,128,16573,1,0,0
-0.751081495606973,19.28785257090139,-178.94643683714227,518,149,16561,1,1,2
-0.7539371985425758,19.159544201052526,-178.88472800829635,525,133,16528,1,1,0
-0.6667793870995159,18.98055644415666,-178.80415820564986,534,148,16574,0,1,2
-0.705837065251201,18.98072441842309,-178.74409024329677,518,137,16565,-1,0,2
-0.6067064240366603,19.15106318513572,-178.6575337455178,534,151,16585,0,-1,1
-0.6499006158952733,19.067956274765947,-178.60116999593853,520,139,16566,1,0,1
-0.6699383182919687,19.163822122502353,-178.53165309440953,520,154,16569,1,0,2
-0.6453385746502548,19.134743666851964,-178.46394694765485,515,128,16542,1,-1,-1
-0.6321408054447379,18.931848955278088,-178.3988816568352,523,140,16494,3,0,0
-0.6407961900041769,18.898053982867236,-178.3338687386244,513,139,16565,0,1,0
-0.5855746888203142,19.144013548102013,-178.25136880096363,506,138,16567,1,0,1
-0.6431251443408691,18.970652522956485,-178.19203586659515,527,156,16562,1,-1,1
-1.5826015854531925,15.70196287529733,-166.14979895330694,520,130,16556,1,-1,1
-0.6262640087590754,17.684978716819987,-165.6515005784131,514,125,16579,2,0,1
-0.07204456708134484,18.50793325260949,-165.27350143722552,529,133,16574,1,1,2
0.24417865426709703,18.627376289386902,-164.9909124406257,507,141,16521,1,-2,1
0.49040767716674255,18.84715791135183,-164.71315287620382,513,141,16566,3,1,2
0.6473709360815675,18.937992379239727,-164.4631848670407,517,133,16562,1,-1,1
0.6819955823727475,18.84078362928609,-164.2491549252027,511,146,16550,2,0,1
0.7496648696666071,18.888343424297233,-164.01830733761554,522,104,16569,2,-1,3
0.7385030931684016,19.044451470484844,-163.7836026470284,522,134,16565,3,0,1
0.833831075274531,19.114785891613305,-163.53321391127173,516,145,16545,3,0,2
0.7663887846498857,19.153219450353088,-163.3131706462674,500,122,16491,2,-1,1
0.9033409582567606,19.168312948624802,-163.0561280325689,530,133,16558,2,0,1
0.7602551539732295,19.014700153717992,-162.8599895582738,525,138,16551,0,0,0
0.7638399503002582,18.999840219864804,-162.62231334928913,517,131,16577,1,0,1
0.7368864962028656,18.758984392611215,-162.41151248224685,521,137,16566,0,0,0
0.8961621255841598,18.89196426974139,-162.13867549727192,501,117,16557,2,0,0
0.8943724311898346,18.967866343036977,-161.8863596502218,512,146,16578,-1,0,1
0.9600096395112723,18.91640112614663,-161.63644340942864,518,138,16567,1,-1,0
1.0019219081438104,18.986644610385596,-161.37699936479342,527,123,16570,1,-1,0
0.9435169579436552,19.02363983314366,-161.12742782472867,526,148,16545,2,-1,0
0.9691098398823267,18.957498845680743,-160.87176367705968,520,141,16567,-1,0,1
1.0570086366148217,18.89268859584209,-160.6062545199091,529,143,16580,-1,-2,0
1.0815760180560157,19.068831779410242,-160.32295235694377,522,128,16574,-1,-1,0
1.0527269971977566,18.9267686828623,-160.07735426769648,522,127,16535,-1,0,2
1.0691559210974348,18.910423143575933,-159.80750802373356,513,148,16571,1,-1,1
1.163790349382444,18.97911252711136,-159.51730141047588,499,130,16554,1,3,1
1.2639810118355246,18.972596626584053,-159.2315831390303,520,149,16570,1,0,-1
1.2275678159813084,18.80843067315817,-158.98644265654076,524,133,16568,2,-1,0
1.277975255971653,19.05076899782957,-158.67240192855166,511,133,16584,1,0,1
1.3290560269559375,19.073735291163704,-158.3764988256869,525,141,16589,0,0,1
1.3748599439971654,19.035435510890828,-158.08725749377084,524,142,16586,2,1,1
1.3366959200669635,18.75750371394154,-157.8423784990576,528,140,16583,1,-2,0
1.4375409229052467,18.91664479872864,-157.52226332184054,521,125,16560,0,0,0
1.4320639965975825,18.8982261459415,-157.23162114074424,533,140,16562,1,-1,1
1.4792482997111338,18.934121070265398,-156.92408575650424,505,141,16558,1,-2,1
1.493432749538741,18.89640907442608,-156.6246762628331,519,148,16584,2,0,2
1.5594198711271476,18.85521872507169,-156.31830621869557,515,131,16565,1,-1,2
1.53540299416727,18.884390358568268,-156.0150388910296,513,127,16585,1,0,1
1.5348330239917631,18.839082286886416,-155.7104350972689,528,123,16562,0,-1,2
1.594840903764001,18.864986805400747,-155.38717014563557,516,127,16556,1,0,0
1.5398770086907112,18.874728968860246,-155.07784232291533,501,141,16558,2,1,0
1.5726916058527276,18.78940728154272,-154.7634866747946,516,137,16558,3,-1,0
1.6489307893767504,19.024586783327504,-154.3855529934567,523,144,16560,0,1,1
1.5883653883711946,18.795431073178467,-154.09368008911736,520,139,16577,1,-1,1
1.6663076429525983,18.753346396755298,-153.75068327816862,522,150,16564,0,-1,1
1.7179672395798162,18.72160715045613,-153.41309083713088,526,129,16551,1,-1,0
1.7464949859148546,18.636433224409554,-153.0819041040037,525,155,16583,0,0,0
1.870095554483554,18.598048803413942,-152.73234474038642,512,134,16564,0,0,1
1.9780549725930572,18.906477355038984,-152.32084767880787,531,126,16565,-1,-1,2
2.044480392752946,18.901620161859697,-151.95656866931233,523,145,16586,1,0,2
2.000382208423276,18.776031914557972,-151.62820595240973,513,154,16566,1,-1,0
1.9801204446323766,18.70716810208253,-151.28374012417893,531,131,16588,1,0,1
2.006320305416099,18.708481250611715,-150.91438578853027,520,139,16600,0,-2,2
2.038594760720343,18.708461718752705,-150.54169690003982,512,135,16562,2,0,2
2.1171941681784245,18.75755222692718,-150.1474278647631,539,129,16568,2,-1,1
2.211322802488134,18.822476928897387,-149.7452629175005,507,141,16592,0,0,1
2.270357568858575,18.632202354758768,-149.3875553169988,534,141,16573,0,-2,1
2.2588350944011077,18.842856443237668,-148.9666238823028,497,132,16534,2,0,3
2.254535211179805,18.674548020307263,-148.60473592389647,517,129,16575,-1,0,2
2.251168171202223,18.610902488289703,-148.22610602462453,507,122,16546,0,-1,1
2.3334588154468396,18.626855600321555,-147.81682387250308,516,135,16571,0,1,-1
2.3869760661016475,18.629296416760415,-147.41091481175607,513,124,16581,2,1,0
2.419776626749462,18.59428630048162,-147.00899904762252,519,129,16581,3,0,0
2.50010341994779,18.762474351401,-146.5505504875711,529,131,16587,0,1,0
2.589007653997786,18.619203759511826,-146.14423653501598,525,149,16559,0,-1,0
2.5802783883362874,18.667547596403924,-145.70789931569345,519,148,16577,-1,1,3
2.650278581083554,18.685611071727934,-145.2618990648781,514,149,16572,0,-1,1
2.684603261275865,18.59411102425255,-144.84179169666058,509,150,16587,0,-1,0
2.7001977204241037,18.571889333627237,-144.40665296118357,514,128,16582,0,1,2
2.7688102859122448,18.717892005829547,-143.91711725616608,515,142,16564,0,-1,1
2.768944607133488,18.4853379516587,-143.51215672974584,524,141,16571,1,0,1
2.842639940154036,18.492988634670983,-143.04592479441322,523,119,16551,-1,0,3
2.7964403698275504,18.434863842137787,-142.60563757964226,519,135,16594,0,1,1
2.8581263104528687,18.350412052227043,-142.1546933474412,507,132,16576,1,0,1
3.0336920231702322,18.65819934748783,-141.59031633609217,507,134,16575,1,-1,0
3.082725002224053,18.625061636503485,-141.11000680935607,514,117,16576,0,0,1
3.0856221577117355,18.594768085287786,-140.62661296415513,511,133,16590,-1,-1,1
3.1929352781605256,18.61965847928729,-140.10666150722184,523,137,16592,-1,0,1
3.1474317985346802,18.349452295699905,-139.67962673740146,505,137,16634,0,0,1
3.2728796287787483,18.382800900850302,-139.15133543097411,531,145,16562,0,2,1
3.3618166092560102,18.308069214433,-138.658599018553,500,138,16568,0,1,0
3.438972820294364,18.310857320401134,-138.14250005717955,501,123,16585,1,-1,3
3.431387494871574,18.372301541755448,-137.6134053974558,520,127,16542,2,0,-1
3.5207517842804776,18.323102157035297,-137.0910182999426,506,133,16498,5,-3,0
3.6650187868571913,18.406701940817815,-136.5146464907912,520,141,16544,1,1,2
3.729293823293828,18.327610119003737,-135.98764724784215,521,134,16600,3,-1,1
3.688966471040962,18.17697024165957,-135.48959375952018,526,132,16584,1,0,1
3.76357760211191,17.984742889797253,-134.98673211866776,521,144,16579,2,1,2
3.766884173309823,18.031238035541,-134.4287269770584,518,120,16573,2,-1,2
3.745533091252827,17.862636957189135,-133.92823837064202,512,119,16584,0,-1,1
3.9211120889278233,18.013259445471135,-133.2990871059497,516,155,16591,2,1,3
4.059024635860995,18.111989805955645,-132.67548667453542,534,145,16597,0,1,1
3.066053171701493,13.93751171822797,-124.53732896160695,509,138,16581,1,-1,3
4.264809000464355,15.439580614753394,-123.39550137433564,528,142,16579,2,-1,0
4.884778287916787,16.39678877126451,-122.39000359604253,512,142,16577,-1,0,0
5.1991373096716,16.816785291675448,-121.54730666629791,516,137,16580,-1,-2,1
5.376061903025868,17.013687050434307,-120.76251511589737,529,148,16588,1,0,0
5.51300902532885,17.094674981796725,-120.00380812228671,529,128,16577,1,-1,1
5.565829108752256,17.08756031426017,-119.2741480265171,523,135,16589,1,0,-1
5.473547546480976,16.88570358877196,-118.6211838516768,520,139,16579,1,-1,1
5.579568864087806,16.960300753498377,-117.83064325691211,521,132,16555,3,1,0
5.713354596810592,16.97115791523802,-117.04019131518743,529,130,16556,0,1,2
5.807491755470191,16.971714696008807,-116.24553095616508,526,119,16529,-1,1,1
5.859576938918177,16.87148911486729,-115.48502419977575,524,130,16577,-1,-1,0
5.87433758384781,16.790250732832924,-114.71374320348544,506,142,16598,1,1,0
6.008268512767,16.743721372613674,-113.89759550219128,529,144,16572,0,0,0
6.028067856959946,16.588004857503766,-113.13221249500086,533,140,16551,1,0,-1
6.090245131235767,16.51594347379363,-112.32087454969101,521,131,16567,2,-2,0
6.275943568290657,16.609070591284535,-111.40654123247212,508,136,16566,1,-1,0
6.3217152923402,16.397089107560802,-110.62792238097053,530,132,16566,1,-1,1
6.428978590113019,16.309236489376637,-109.78873824266708,518,137,16590,0,0,0
6.414779247722227,16.128407710351944,-109.0007380180294,507,131,16563,0,0,0
6.519069181491617,16.085967054564282,-108.12898113316226,496,129,16577,-1,0,2
6.563540169604921,16.0033151154424,-107.26212681402028,512,131,16566,0,0,-1
